id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
45152677,New Aqueduct View Romantic Apartment @ Campolide,116114374,Augusto,Lisboa,Campolide,38.72891,-9.16265,Entire home/apt,42,28,1,2021-01-09,0.16,15,162
45164483,beach-summer village St.B 2,341553834,Beach-Summer,Lourinh,Santa Brbara,39.21269,-9.32089,Entire home/apt,195,2,0,,,3,349
45168894,"SEA VIEW Loft 30 secs to Beach, Historic Old Town",83883069,Rahim & Ilona,Cascais,Cascais e Estoril,38.70102,-9.41747,Entire home/apt,144,4,19,2020-11-22,1.84,8,306
45174701,Private Double Room at Impact House Belém,225857461,Impact,Lisboa,Belm,38.70794,-9.2177,Private room,50,1,0,,,6,236
45176293,Charming Apartment Blue Bairro Guesthouse 2,325646937,Nelson,Lisboa,Avenidas Novas,38.73482,-9.15577,Private room,45,1,4,2020-10-01,0.97,8,175
45190047,Apartamento moderno em condomínio privado,364964589,Dennis,Torres Vedras,Silveira,39.13059,-9.37549,Entire home/apt,80,4,0,,,1,316
45199316,Flores Guest House - Double Room w/ Kitchenette,50185035,Flores,Lisboa,Misericrdia,38.71553,-9.15004,Private room,52,1,3,2021-06-16,0.34,11,345
45199866,Bed in a 6 Bed Mixed Dorm. at Impact House Belém,225857461,Impact,Lisboa,Belm,38.70936,-9.21571,Shared room,15,1,0,,,6,245
45200079,Bed in 6 Bed Female Dorm. at Impact House Belem,225857461,Impact,Lisboa,Belm,38.7088,-9.21803,Shared room,15,1,0,,,6,262
45204890,Stylish Room near Station,67318568,Michael,Amadora,Venteira,38.75159,-9.22544,Private room,24,1,19,2021-05-26,1.82,5,180
45210903,Tents in Atlantic Eden: the nature reserve.,38063489,Mena,Torres Vedras,A dos Cunhados e Maceira,39.16838,-9.35235,Entire home/apt,20,1,1,2020-09-15,0.10,2,362
45212421,The Alfama N. 5,165587850,Irina,Lisboa,Santa Maria Maior,38.71193,-9.12693,Entire home/apt,55,2,1,2020-10-18,0.11,2,158
45213272,Bed in 8 Bed Female Dorm. at Impact House Belém,225857461,Impact,Lisboa,Belm,38.70793,-9.21785,Shared room,15,1,0,,,6,259
45213871,Bed in 8 Bed Male Dorm. at Impact House Belém,225857461,Impact,Lisboa,Belm,38.70745,-9.21793,Shared room,15,1,0,,,6,241
45214624,AV. LIBERDADE | COMFY & BRIGHT,30642769,Courtesy,Lisboa,Santo Antnio,38.72059,-9.14284,Entire home/apt,86,4,0,,,12,132
